video, real_score, generated_score, accuracy
castle, -79.60113525390625, 13.88568115234375, 0.4966442883014679
castle_gen, -84.99195098876953, 18.15296173095703, 0.46000000834465027
garden, -68.75113677978516, 8.43364429473877, 0.46979865431785583
garden_gen, -76.64826965332031, 15.5296630859375, 0.5133333206176758
mountain_gen, -88.3997573852539, 20.257116317749023, 0.4533333480358124
pathway, -80.697265625, 17.199016571044922, 0.4093959629535675
pathway_gen, -87.92518615722656, 17.90572738647461, 0.46000000834465027
